Species_name	Subfam	Tribe	DIAM	DEN	VEL	FL	RH	MPH	Clim	GF	SOL	CL	RM	MT	MUL	VD	T	FT	LF	GTT	SEP	VCT	AP	APOPARA	DIF	DIA	BAN	SCA	VAS	RW	PC	PCR	PCA	PCP	MI	CV	LA	CorSal	CorFun	CorCam	CorTub	CorRot	AntICH	AntIEE	AntFEx	AntICTH	CorCor	GynCor	AntASH	AntEES	AntAgg	PolMon	PolTet	PolPol	FruPD	FruPF
Papuechites_aambe	APO	Apo	260	15	410	870	545	20	Present	Climbing	Present	Present	Absent	CL	Present	Present	Absent	Absent	Present	LF	Absent	Thin	Present	Apo+Para	Present	Present	Absent	Present	Present	Multi	Present	Present	Present	AxialParenchyma+Rays	PrismaticCrystals	Absent	Present	Present	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Present	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Trachelospermum_asiaticum	APO	Apo	NA	NA	NA	NA	NA	10	Present	Climbing	Absent	Absent	Present	RM	Present	Present	Absent	Absent	Present	LF	Absent	ThinThick	Present	Para	Absent	Absent	Absent	Present	Absent	Multi	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Urceola_laevigata	APO	Apo	140	19	340	785	500	10	Present	Climbing	Present	Present	Absent	CL	Present	Present	Present	Absent	Present	T+LF	Absent	Thin	Present	Apo+Para	Absent	Present	Absent	Present	Absent	Multi	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Urceola_lucida	APO	Apo	135	36	550	1000	1660	20	Present	Climbing	Present	Present	Absent	CL	Present	Present	Present	Absent	Present	T+LF	Absent	ThinThick	Present	Apo+Para	Absent	Present	Absent	Present	Absent	Multi	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Baissea_leonensis	APO	Bai	190	11	490	900	270	3	Present	Climbing	Present	Present	Absent	CL	Present	Present	Present	Absent	Present	T+LF	Absent	Thin	Present	Para	Absent	Absent	Absent	Present	Absent	Multi	Present	Absent	Present	AxialParenchyma	PrismaticCrystals	Present	Absent	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Absent	Present	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Motandra_paniculata	APO	Bai	115	30	465	840	435	40	Present	Climbing	Present	Present	Absent	CL	Present	Present	Absent	Absent	Present	LF	Present	Thin	Present	Para	Absent	Absent	Absent	Present	Absent	Multi	Present	Absent	Present	AxialParenchyma	PrismaticCrystals	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Macropharynx_peltata	APO	Ech	90	25	270	675	500	10	Present	Climbing	Present	Present	Absent	CL	Present	Present	Present	Present	Absent	T+FT	Absent	Thin	Present	Para	Absent	Absent	Absent	Present	Absent	Multi	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Present	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Pentalinon_luteum	APO	Ech	65	39	300	750	310	1	Present	Climbing	Present	Present	Absent	CL	Present	Present	Absent	Absent	Present	LF	Absent	Thin	Present	Para	Absent	Present	Absent	Present	Absent	Multi	Present	Present	Present	AxialParenchyma+Rays	PrismaticCrystals	Absent	Absent	Absent	Present	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Prestonia_quinquangularis	APO	Ech	94	21	470	1030	530	2	Present	Climbing	Present	Present	Absent	CL	Present	Absent	Present	Absent	Absent	T	Absent	ThinThick	Present	Apo	Absent	Absent	Present	Absent	Absent	Uni+Multi	Present	Present	Present	AxialParenchyma+Rays	PrismaticCrystals	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Funtumia_africana	APO	Mal	115	9	690	1510	360	30	Absent	Erect	Absent	Absent	Present	RM	Present	Absent	Absent	Absent	Present	LF	Absent	Thin	Present	Apo	Absent	Present	Present	Absent	Absent	Multi	Present	Absent	Present	AxialParenchyma	PrismaticCrystals	Absent	Absent	Present	Present	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Funtumia_elastica	APO	Mal	90	13	540	NA	260	35	Absent	Erect	Absent	Absent	Present	RM	Present	Absent	Absent	Absent	Present	LF	Absent	Thin	Present	Apo	Present	Absent	Absent	Absent	Absent	Uni+Multi	Present	Absent	Present	AxialParenchyma	PrismaticCrystals	Absent	Absent	Present	Present	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Galactophora_schomburgkiana	APO	Mal	40	137	380	NA	190	5	Absent	Erect	Absent	Absent	Present	RM	Present	Absent	Absent	Absent	Present	LF	Absent	ThinThick	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Uni	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Holarrhena_curtisii	APO	Mal	30	50	620	1700	130	3	Absent	Erect	Absent	Absent	Present	RM	Present	Absent	Absent	Absent	Present	LF	Absent	Thin	Present	Apo	Absent	Present	Absent	Absent	Absent	Uni	Present	Absent	Present	AxialParenchyma	PrismaticCrystals	Absent	Absent	Present	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Present	Absent	Absent	Present	Absent
Holarrhena_pubescens	APO	Mal	60	46	480	1000	328	15	Absent	Erect	Absent	Absent	Present	RM	Present	Absent	Absent	Absent	Present	LF	Absent	Thin	Present	Apo	Absent	Present	Present	Absent	Absent	Multi	Present	Absent	Present	AxialParenchyma	PrismaticCrystals	Absent	Absent	Present	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Present	Absent	Absent	Present	Absent
Kibatalia_macrophylla	APO	Mal	70	25	750	1425	545	20	Absent	Erect	Absent	Absent	Present	RM	Present	Absent	Absent	Absent	Present	LF	Absent	ThinThick	Present	Apo	Absent	Present	Present	Absent	Absent	Multi	Present	Absent	Present	AxialParenchyma	PrismaticCrystals	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Malouetia_tamaquarina	APO	Mal	40	37	780	1250	635	20	Absent	Erect	Absent	Absent	Present	RM	Present	Absent	Absent	Absent	Present	LF	Absent	ThinThick	Present	Apo	Present	Absent	Absent	Absent	Absent	Uni+Multi	Present	Absent	Present	AxialParenchyma	PrismaticCrystals	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Mascarenhasia_arborescens	APO	Mal	40	70	415	835	190	20	Absent	Erect	Absent	Absent	Present	RM	Present	Absent	Absent	Absent	Present	LF	Absent	Thin	Present	Apo	Absent	Present	Absent	Absent	Absent	Multi	Present	Present	Present	AxialParenchyma+Rays	PrismaticCrystals	Absent	Present	Present	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Neobracea_valenzuelana	APO	Mal	30	56	520	840	310	2	Absent	Erect	Present	Absent	Present	RM	Present	Absent	Absent	Absent	Present	LF	Absent	ThinThick	Present	Apo	Absent	Present	Absent	Absent	Absent	Uni	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Allomarkgrafia_brenesiana	APO	Mes	100	39	430	NA	330	4	Present	Climbing	Present	Present	Absent	CL	Present	Present	Absent	Absent	Present	LF	Absent	ThinThick	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Uni+Multi	Present	Present	Present	AxialParenchyma+Rays	PrismaticCrystals	Absent	Present	Absent	Present	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Allomarkgrafia_plumeriiflora	APO	Mes	110	37	310	500	980	25	Present	Climbing	Present	Present	Absent	CL	Present	Present	Absent	Absent	Present	LF	Absent	ThinThick	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Uni	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Present	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Forsteronia_guyanensis	APO	Mes	125	20	560	1190	890	15	Present	Climbing	Absent	Present	Absent	CL	Present	Present	Absent	Present	Present	FT+LF	Present	Thin	Present	Para	Absent	Absent	Absent	Present	Absent	Multi	Present	Present	Present	AxialParenchyma+Rays	PrismaticCrystals	Present	Absent	Absent	Absent	Present	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Mandevilla_pycnantha	APO	Mes	60	43	310	590	280	2	Present	Climbing	Absent	Present	Absent	CL	Present	Absent	Absent	Present	Absent	FT	Present	ThinThick	Present	Apo+Para	Absent	Absent	Present	Present	Absent	Uni	Absent	Absent	Absent	Absent	Absent	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Mandevilla_rugellosa	APO	Mes	110	42	370	870	440	3	Present	Climbing	Present	Absent	Present	RM	Present	Present	Absent	Absent	Present	LF	Present	ThinThick	Present	Para	Absent	Absent	Absent	Absent	Present	Multi	Present	Present	Absent	Rays	PrismaticCrystals	Absent	Present	Present	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Mandevilla_scabra	APO	Mes	170	16	NA	NA	440	3	Present	Climbing	Present	Present	Absent	CL	Present	Present	Absent	Absent	Present	LF	Absent	ThinThick	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Multi	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Mesechites_trifidus	APO	Mes	150	19	340	490	470	12	Present	Climbing	Present	Absent	Absent	Absent	Absent	Present	Absent	Absent	Present	LF	Absent	Thin	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Uni	Present	Present	Absent	Rays	PrismaticCrystals	Absent	Absent	Present	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Adenium_obesum	APO	Ner	50	7	350	NA	450	6	Absent	Erect	Absent	Absent	Present	RM	Present	Absent	Absent	Absent	Present	LF	Absent	ThinThick	Present	Apo+Para	Absent	Present	Absent	Present	Absent	Uni	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Isonema_smeathmannii	APO	Ner	90	30	535	1060	405	3	Present	Climbing	Absent	Absent	Present	RM	Present	Absent	Absent	Absent	Present	LF	Absent	Thin	Present	Apo	Absent	Present	Present	Absent	Absent	Multi	Present	Absent	Present	AxialParenchyma	PrismaticCrystals	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Nerium_oleander	APO	Ner	40	44	445	875	325	3	Absent	Erect	Absent	Absent	Present	RM	Present	Absent	Absent	Absent	Present	LF	Absent	Thin	Present	Apo	Absent	Present	Present	Absent	Absent	Multi	Present	Absent	Present	AxialParenchyma	PrismaticCrystals	Absent	Absent	Absent	Present	Absent	Absent	Absent	Present	Absent	Absent	Absent	Present	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Strophanthus_boivinii	APO	Ner	NA	NA	NA	NA	NA	3	Absent	Erect	Absent	Absent	Present	RM	Present	Absent	Absent	Absent	Present	LF	Absent	ThinThick	Present	Apo	Absent	Absent	Present	Absent	Absent	Uni+Multi	Present	Present	Absent	Rays	PrismaticCrystals	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Strophanthus_caudatus	APO	Ner	125	18	550	950	750	12	Present	Climbing	Absent	Absent	Present	RM	Present	Absent	Absent	Absent	Present	LF	Absent	Thin	Present	Apo+Para	Absent	Present	Absent	Present	Absent	Multi	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Odontadenia_perrottetii	APO	Odo	130	10	580	990	320	5	Present	Climbing	Present	Present	Absent	CL	Present	Present	Absent	Absent	Present	LF	Absent	Thin	Present	Apo	Absent	Absent	Present	Absent	Absent	Uni	Present	Absent	Present	AxialParenchyma	Various	Present	Present	Absent	Present	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Odontadenia_puncticulosa	APO	Odo	120	48	595	965	508	40	Present	Climbing	Absent	Present	Absent	CL	Present	Present	Absent	Absent	Present	LF	Present	Thin	Present	Para	Absent	Absent	Absent	Present	Absent	Uni+Multi	Present	Absent	Present	AxialParenchyma	PrismaticCrystals	Present	Absent	Absent	Present	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Secondatia_densiflora	APO	Odo	80	63	410	620	290	20	Present	Climbing	Present	Present	Absent	CL	Present	Present	Absent	Absent	Present	LF	Absent	ThinThick	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Uni	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Rhabdadenia_biflora	APO	Rha	60	7	330	580	400	1	Absent	Erect	Absent	Absent	Present	RM	Present	Absent	Absent	Absent	Present	LF	Absent	Thin	Present	Para	Absent	Absent	Absent	Present	Absent	Uni+Multi	Absent	Absent	Absent	Absent	Various	Absent	Present	Absent	Present	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Pleioceras_barteri	APO	Wri	60	23	470	1060	205	1	Absent	Erect	Present	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	FT	Absent	Thick	Present	Apo	Present	Absent	Absent	Absent	Absent	Uni+Multi	Present	Absent	Present	AxialParenchyma	PrismaticCrystals	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Present	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Wrightia_arborea	APO	Wri	70	35	890	1570	585	20	Absent	Erect	Absent	Absent	Present	RM	Present	Absent	Absent	Absent	Present	LF	Present	Thin	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Uni+Multi	Present	Present	Absent	Rays	PrismaticCrystals	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Present	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Wrightia_coccinea	APO	Wri	40	66	400	870	325	20	Absent	Erect	Absent	Absent	Present	RM	Present	Absent	Absent	Absent	Present	LF	Absent	Thin	Present	Apo	Absent	Present	Present	Absent	Absent	Multi	Present	Present	Absent	Rays	PrismaticCrystals	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Present	Absent	Present	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Wrightia_dubia	APO	Wri	40	68	550	1060	380	3	Absent	Erect	Absent	Absent	Present	RM	Present	Absent	Absent	Absent	Present	LF	Absent	ThinThick	Present	Apo	Absent	Present	Absent	Absent	Absent	Uni+Multi	Present	Absent	Present	AxialParenchyma	PrismaticCrystals	Absent	Absent	Absent	Present	Absent	Absent	Absent	Present	Absent	Absent	Absent	Present	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent
Asclepias_curassavica	ASC	Asc	35	32	310	420	500	2	Absent	Erect	Present	Absent	Present	RM	Present	Absent	Absent	Present	Absent	FT	Absent	Thin	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Multi	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Present	Present	Absent
Asclepias_linaria	ASC	Asc	95	27	210	1110	265	2	Absent	Erect	Absent	Present	Absent	CL	Present	Absent	Absent	Present	Absent	FT	Absent	Thin	Present	Apo	Absent	Present	Present	Absent	Absent	Multi	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Present	Present	Absent
Asclepias_syriaca	ASC	Asc	50	36	260	420	540	2	Absent	Erect	Absent	Present	Absent	CL	Present	Absent	Absent	Absent	Present	LF	Absent	Thin	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Multi	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Present	Present	Absent
Blepharodon_pictum	ASC	Asc	50	76	190	390	540	3	Present	Climbing+Erect	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	LF	Absent	ThinThick	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Uni	Present	Present	Absent	Rays	PrismaticCrystals	Present	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Present	Present	Absent
Calotropis_gigantea	ASC	Asc	80	25	230	1060	208	4	Absent	Erect	Absent	Absent	Present	RM	Present	Absent	Absent	Absent	Present	LF	Absent	Thin	Present	Apo	Absent	Present	Present	Absent	Absent	Multi	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Absent	Present	Absent	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Present	Present	Absent
Calotropis_procera	ASC	Asc	60	34	220	910	430	4	Absent	Erect	Absent	Present	Absent	CL	Present	Absent	Absent	Present	Absent	FT	Absent	Thin	Present	Apo	Absent	Present	Present	Absent	Absent	Multi	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Present	Absent	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Present	Present	Absent
Cynanchum_ellipticum	ASC	Asc	70	56	290	430	210	3	Present	Climbing	Present	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	FT	Absent	Thick	Present	Absent	Absent	Absent	Absent	Absent	Absent	Uni	Present	Absent	Present	AxialParenchyma	Various	Present	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Present	Absent	Present	Absent	Absent	Present	Absent	Absent	Present	Present	Absent
Cynanchum_viminale	ASC	Asc	50	13	570	970	735	3	Absent	Erect	Present	Absent	Present	RM	Present	Absent	Absent	Absent	Present	LF	Absent	Thin	Present	Apo	Absent	Present	Present	Absent	Absent	Multi	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Present	Present	Absent
Ditassa_capillaris	ASC	Asc	43	97	160	310	130	4	Present	Climbing+Erect	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	LF	Absent	Thick	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Uni	Present	Present	Absent	Rays	PrismaticCrystals	Present	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Present	Present	Absent
Ditassa_mucronata	ASC	Asc	45	108	290	370	120	NA	Present	Climbing+Erect	Present	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	FT	Absent	Thick	Present	Para	Absent	Absent	Absent	Present	Absent	Uni	Present	Absent	Present	AxialParenchyma	PrismaticCrystals	Present	Absent	Absent	Absent	Present	Absent	Absent	Absent	Present	Absent	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Present	Present	Absent
Ditassa_retusa	ASC	Asc	40	113	240	380	130	3	Present	Climbing+Erect	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	LF	Absent	Thick	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Multi	Present	Absent	Present	AxialParenchyma	PrismaticCrystals	Present	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Present	Present	Absent
Funastrum_clausum	ASC	Asc	80	22	320	480	575	3	Present	Climbing	Present	Absent	Absent	Absent	Absent	Present	Absent	Absent	Present	LF	Absent	ThinThick	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Multi	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Present	Absent	Present	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Present	Present	Absent
Gomphocarpus_fruticosus	ASC	Asc	35	43	270	500	428	3	Absent	Erect	Absent	Present	Absent	CL	Present	Absent	Absent	Present	Absent	FT	Absent	Thin	Present	Para	Absent	Absent	Absent	Present	Absent	Multi	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Present	Present	Absent
Gomphocarpus_tomentosus	ASC	Asc	50	23	220	510	255	2	Absent	Erect	Absent	Present	Absent	CL	Present	Present	Absent	Present	Absent	FT	Absent	Thin	Present	Para	Absent	Absent	Absent	Present	Absent	Multi	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Present	Present	Absent
