Species_name	Subfam	Tribe	DIAM	DEN	VEL	FL	RH	MPH	CL	GF	SOL	MT	MUL	VD	T	FT	LF	GTT	SEP	VCT	AP	APOPARA	DIF	DIA	BAN	SCA	VAS	RW	PC	PCP	MI	CV	LA
Chonemorpha_fragrans	APO	Apo	150	27	460	850	875	30	Present	Climbing	Absent	CL	Present	Present	Present	Absent	Present	T+LF	Absent	Thin	Present	Para	Absent	Absent	Absent	Present	Absent	Multi	Present	AxialParenchyma	PrismaticCrystals	Absent	Absent
Couma_guianensis	RAU	Wil	120	8	720	1775	250	18	Absent	Erect	Absent	RM	Present	Absent	Absent	Present	Absent	FT	Absent	Thin	Present	Apo	Absent	Absent	Present	Absent	Absent	Multi	Present	AxialParenchyma	PrismaticCrystals	Absent	Absent
Craspidospermum_verticillatum	RAU	Mel	NA	NA	NA	NA	NA	15	Absent	Erect	Present	Absent	Absent	Absent	Absent	Present	Present	FT+LF	Absent	Thin	Present	Apo	Absent	Absent	Present	Absent	Absent	Uni+Multi	Absent	Absent	Absent	Absent	Absent
Crioceras_dipladeniiflorus	RAU	Tab	NA	NA	NA	NA	NA	2	NA	Erect	NA	NA	NA	NA	NA	NA	NA	NA	Present	ThinThick	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Multi	Present	AxialParenchyma	PrismaticCrystals	Absent	Absent
Cryptostegia_grandiflora	PER	PER	40	36	320	540	470	2	Absent	Erect	Present	CL	Present	Present	Absent	Absent	Present	LF	Absent	Thin	Present	Apo+Para	Absent	Present	Present	Present	Absent	Multi	Present	AxialParenchyma	PrismaticCrystals	Absent	Present
Cynanchum_ellipticum	ASC	Asc	70	56	290	430	210	3	Present	Climbing	Present	Absent	Absent	Absent	Absent	Present	Absent	FT	Absent	Thick	Present	Absent	Absent	Absent	Absent	Absent	Absent	Uni	Present	AxialParenchyma	Various	Present	Absent
Cynanchum_viminale	ASC	Asc	50	13	570	970	735	3	Absent	Erect	Present	RM	Present	Absent	Absent	Absent	Present	LF	Absent	Thin	Present	Apo	Absent	Present	Present	Absent	Absent	Multi	Absent	Absent	Absent	Absent	Present
Diplorhynchus_condylocarpon	RAU	Mel	40	39	550	1675	320	12	Absent	Erect	Present	Absent	Absent	Absent	Present	Present	Absent	T+FT	Absent	Thin	Present	Apo+Para	Absent	Present	Absent	Present	Absent	Multi	Present	Rays	PrismaticCrystals	Absent	Present
Ditassa_capillaris	ASC	Asc	43	97	160	310	130	4	Present	Climbing+Erect	Present	Absent	Absent	Absent	Absent	Absent	Present	LF	Absent	Thick	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Uni	Present	Rays	PrismaticCrystals	Present	Absent
Ditassa_mucronata	ASC	Asc	45	108	290	370	120	NA	Present	Climbing+Erect	Present	Absent	Absent	Absent	Absent	Present	Absent	FT	Absent	Thick	Present	Para	Absent	Absent	Absent	Present	Absent	Uni	Present	AxialParenchyma	PrismaticCrystals	Present	Absent
Ditassa_retusa	ASC	Asc	40	113	240	380	130	3	Present	Climbing+Erect	Present	Absent	Absent	Absent	Absent	Absent	Present	LF	Absent	Thick	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Multi	Present	AxialParenchyma	PrismaticCrystals	Present	Absent
Dyera_costulata	RAU	Als	135	6	920	1790	470	80	Absent	Erect	Absent	RM	Present	Absent	Absent	Absent	Present	LF	Absent	Thin	Present	Apo	Absent	Absent	Present	Absent	Absent	Multi	Absent	Absent	Absent	Absent	Present
Epigynum_ridleyi	APO	Apo	85	31	405	960	693	8	Present	Climbing	Present	Absent	Absent	Absent	Present	Present	Present	T+FT+LF	Absent	ThinThick	Present	Para	Absent	Absent	Absent	Present	Absent	Multi	Present	Rays	PrismaticCrystals	Absent	Present
Forsteronia_guyanensis	APO	Mes	125	20	560	1190	890	15	Present	Climbing	Absent	CL	Present	Present	Absent	Present	Present	FT+LF	Present	Thin	Present	Para	Absent	Absent	Absent	Present	Absent	Multi	Present	AxialParenchyma+Rays	PrismaticCrystals	Present	Absent
Funastrum_clausum	ASC	Asc	80	22	320	480	575	3	Present	Climbing	Present	Absent	Absent	Present	Absent	Absent	Present	LF	Absent	ThinThick	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Multi	Absent	Absent	Absent	Absent	Present
Funtumia_africana	APO	Mal	115	9	690	1510	360	30	Absent	Erect	Absent	RM	Present	Absent	Absent	Absent	Present	LF	Absent	Thin	Present	Apo	Absent	Present	Present	Absent	Absent	Multi	Present	AxialParenchyma	PrismaticCrystals	Absent	Absent
Funtumia_elastica	APO	Mal	90	13	540	NA	260	35	Absent	Erect	Absent	RM	Present	Absent	Absent	Absent	Present	LF	Absent	Thin	Present	Apo	Present	Absent	Absent	Absent	Absent	Uni+Multi	Present	AxialParenchyma	PrismaticCrystals	Absent	Absent
Galactophora_schomburgkiana	APO	Mal	40	137	380	NA	190	5	Absent	Erect	Absent	RM	Present	Absent	Absent	Absent	Present	LF	Absent	ThinThick	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Uni	Absent	Absent	Absent	Absent	Absent
Geissospermum_laeve	RAU	Asp	90	11	NA	NA	245	22	Absent	Erect	Present	Absent	Absent	Absent	Absent	Present	Present	FT+LF	Absent	Thick	Present	Apo	Present	Present	Absent	Absent	Absent	Uni+Multi	Present	AxialParenchyma	PrismaticCrystals	Absent	Absent
Gomphocarpus_fruticosus	ASC	Asc	35	43	270	500	428	3	Absent	Erect	Absent	CL	Present	Absent	Absent	Present	Absent	FT	Absent	Thin	Present	Para	Absent	Absent	Absent	Present	Absent	Multi	Absent	Absent	Absent	Absent	Absent
Gomphocarpus_tomentosus	ASC	Asc	50	23	220	510	255	2	Absent	Erect	Absent	CL	Present	Present	Absent	Present	Absent	FT	Absent	Thin	Present	Para	Absent	Absent	Absent	Present	Absent	Multi	Absent	Absent	Absent	Absent	Absent
Gongronemopsis_tenacissima	ASC	Mar	150	19	310	970	638	10	Present	Climbing	Present	CL	Present	Present	Absent	Present	Present	FT+LF	Absent	Thin	Present	Para	Absent	Absent	Absent	Present	Absent	Multi	Absent	Absent	Absent	Absent	Present
Gonioma_kamassi	RAU	Hun	30	45	490	1040	185	9	Absent	Erect	Present	Absent	Absent	Absent	Absent	Present	Absent	FT	Absent	Thick	Present	Apo	Absent	Present	Absent	Absent	Absent	Multi	Absent	Absent	Absent	Absent	Absent
Gonolobus_parviflorus	ASC	Asc	90	11	500	440	370	5	Present	Climbing	Present	Absent	Absent	Present	Absent	Present	Absent	FT	Absent	ThinThick	Present	Para	Absent	Absent	Absent	Present	Absent	Uni+Multi	Absent	Absent	Druses	Present	Present
Gymnema_sylvestre	ASC	Mar	155	8	340	665	860	5	Present	Climbing	Absent	CL	Present	Absent	Absent	Present	Absent	FT	Present	Thin	Present	Apo	Absent	Absent	Present	Absent	Absent	Multi	Absent	Absent	Absent	Present	Absent
Hancornia_speciosa	RAU	Wil	65	39	430	810	250	7	Absent	Erect	Absent	RM	Present	Absent	Absent	Absent	Present	LF	Absent	Thin	Present	Apo	Absent	Present	Present	Absent	Absent	Multi	Present	Rays	Various	Absent	Absent
Himatanthus_bracteatus	RAU	Plu	80	14	NA	NA	315	20	Absent	Erect	Absent	RM	Present	Absent	Absent	Absent	Present	LF	Absent	ThinThick	Present	Apo	Absent	Present	Present	Absent	Absent	Uni+Multi	Absent	Absent	Absent	Absent	Absent
Holarrhena_curtisii	APO	Mal	30	50	620	1700	130	3	Absent	Erect	Absent	RM	Present	Absent	Absent	Absent	Present	LF	Absent	Thin	Present	Apo	Absent	Present	Absent	Absent	Absent	Uni	Present	AxialParenchyma	PrismaticCrystals	Absent	Absent
Holarrhena_pubescens	APO	Mal	60	46	480	1000	328	15	Absent	Erect	Absent	RM	Present	Absent	Absent	Absent	Present	LF	Absent	Thin	Present	Apo	Absent	Present	Present	Absent	Absent	Multi	Present	AxialParenchyma	PrismaticCrystals	Absent	Absent
Hunteria_umbellata	RAU	Hun	35	42	535	1350	255	22	Absent	Erect	Present	Absent	Absent	Absent	Absent	Present	Absent	FT	Absent	Thick	Present	Apo	Absent	Present	Present	Absent	Absent	Multi	Absent	Absent	Absent	Absent	Absent
Ichnocarpus_frutescens	APO	Apo	140	15	NA	NA	685	10	Present	Climbing	Present	CL	Present	Present	Present	Absent	Present	T+LF	Absent	Thin	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Uni+Multi	Absent	Absent	Absent	Absent	Present
Isonema_smeathmannii	APO	Ner	90	30	535	1060	405	3	Present	Climbing	Absent	RM	Present	Absent	Absent	Absent	Present	LF	Absent	Thin	Present	Apo	Absent	Present	Present	Absent	Absent	Multi	Present	AxialParenchyma	PrismaticCrystals	Absent	Absent
Kanahia_laniflora	ASC	Asc	35	72	270	370	370	3	Absent	Erect	Present	RM	Present	Absent	Absent	Absent	Present	LF	Absent	Thin	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Uni	Absent	Absent	Absent	Absent	Absent
Kibatalia_macrophylla	APO	Mal	70	25	750	1425	545	20	Absent	Erect	Absent	RM	Present	Absent	Absent	Absent	Present	LF	Absent	ThinThick	Present	Apo	Absent	Present	Present	Absent	Absent	Multi	Present	AxialParenchyma	PrismaticCrystals	Absent	Absent
Lacmellea_aculeata	RAU	Wil	70	18	1020	1690	370	3	Absent	Erect	Absent	RM	Present	Absent	Absent	Absent	Present	LF	Absent	ThinThick	Present	Apo	Absent	Present	Present	Absent	Absent	Uni	Present	AxialParenchyma	PrismaticCrystals	Absent	Absent
Leptadenia_arborea	ASC	Cer	165	5	300	670	1150	4	Present	Climbing	Present	Absent	Absent	Present	Absent	Present	Absent	FT	Absent	ThinThick	Present	Apo+Para	Absent	Absent	Present	Present	Absent	Multi	Present	Rays	PrismaticCrystals	Present	Present
Leptadenia_lanceolata	ASC	Cer	140	7	340	600	710	7	Present	Climbing	Present	CL	Present	Present	Absent	Present	Absent	FT	Absent	ThinThick	Present	Apo	Absent	Absent	Present	Absent	Absent	Multi	Present	Rays	PrismaticCrystals	Present	Present
Macoubea_guianensis	RAU	Tab	110	6	1200	2230	755	25	Absent	Erect	Present	RM	Present	Absent	Absent	Present	Absent	FT	Absent	Thin	Present	Apo	Absent	Present	Present	Absent	Absent	Multi	Present	AxialParenchyma	PrismaticCrystals	Absent	Absent
Macropharynx_peltata	APO	Ech	90	25	270	675	500	10	Present	Climbing	Present	CL	Present	Present	Present	Present	Absent	T+FT	Absent	Thin	Present	Para	Absent	Absent	Absent	Present	Absent	Multi	Absent	Absent	Absent	Present	Present
Malouetia_tamaquarina	APO	Mal	40	37	780	1250	635	20	Absent	Erect	Absent	RM	Present	Absent	Absent	Absent	Present	LF	Absent	ThinThick	Present	Apo	Present	Absent	Absent	Absent	Absent	Uni+Multi	Present	AxialParenchyma	PrismaticCrystals	Absent	Absent
Mandevilla_pycnantha	APO	Mes	60	43	310	590	280	2	Present	Climbing	Absent	CL	Present	Absent	Absent	Present	Absent	FT	Present	ThinThick	Present	Apo+Para	Absent	Absent	Present	Present	Absent	Uni	Absent	Absent	Absent	Present	Present
Mandevilla_rugellosa	APO	Mes	110	42	370	870	440	3	Present	Climbing	Present	RM	Present	Present	Absent	Absent	Present	LF	Present	ThinThick	Present	Para	Absent	Absent	Absent	Absent	Present	Multi	Present	Rays	PrismaticCrystals	Absent	Present
Mandevilla_scabra	APO	Mes	170	16	NA	NA	440	3	Present	Climbing	Present	CL	Present	Present	Absent	Absent	Present	LF	Absent	ThinThick	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Multi	Absent	Absent	Absent	Absent	Absent
Mascarenhasia_arborescens	APO	Mal	40	70	415	835	190	20	Absent	Erect	Absent	RM	Present	Absent	Absent	Absent	Present	LF	Absent	Thin	Present	Apo	Absent	Present	Absent	Absent	Absent	Multi	Present	AxialParenchyma+Rays	PrismaticCrystals	Absent	Present
Matelea_pedalis	ASC	Asc	60	56	250	430	150	1	Present	Climbing	Present	CL	Present	Absent	Absent	Absent	Present	LF	Absent	ThinThick	Present	Para	Absent	Absent	Absent	Present	Absent	Uni	Absent	Absent	Absent	Present	Absent
Melodinus_australis	RAU	Mel	130	21	NA	NA	425	10	Present	Climbing	Present	Absent	Absent	Absent	Present	Present	Absent	T+FT	Absent	ThinThick	Present	Apo+Para	Present	Absent	Absent	Present	Absent	Uni+Multi	Absent	Absent	Absent	Absent	Absent
Mesechites_trifidus	APO	Mes	150	19	340	490	470	12	Present	Climbing	Present	Absent	Absent	Present	Absent	Absent	Present	LF	Absent	Thin	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Uni	Present	Rays	PrismaticCrystals	Absent	Absent
Micrechites_rhombifolius	APO	Apo	240	6	485	850	790	40	Present	Climbing	Present	CL	Present	Present	Present	Absent	Present	T+LF	Absent	Thin	Present	Para	Absent	Absent	Absent	Present	Present	Multi	Present	AxialParenchyma	PrismaticCrystals	Present	Present
Micrechites_serpyllifolius	APO	Apo	150	13	600	1020	1380	20	Present	Climbing	Present	CL	Present	Present	Present	Absent	Present	T+LF	Absent	Thin	Present	Para	Absent	Absent	Absent	Present	Absent	Multi	Present	AxialParenchyma	PrismaticCrystals	Present	Absent
Minaria_acerosa	ASC	Asc	42	62	160	340	130	1	Absent	Erect	Present	Absent	Absent	Absent	Absent	Absent	Present	LF	Absent	ThinThick	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Uni	Absent	Absent	Absent	Present	Absent
Minaria_grazielae	ASC	Asc	35	104	160	330	130	1	Absent	Erect	Present	Absent	Absent	Absent	Absent	Present	Absent	FT	Absent	ThinThick	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Uni	Present	AxialParenchyma	PrismaticCrystals	Present	Absent
Motandra_paniculata	APO	Bai	115	30	465	840	435	40	Present	Climbing	Present	CL	Present	Present	Absent	Absent	Present	LF	Present	Thin	Present	Para	Absent	Absent	Absent	Present	Absent	Multi	Present	AxialParenchyma	PrismaticCrystals	Absent	Absent
Mucoa_duckei	RAU	Tab	75	17	1110	1900	855	8	Absent	Erect	Absent	RM	Present	Absent	Absent	Present	Absent	FT	Absent	ThinThick	Present	Apo	Absent	Present	Absent	Absent	Absent	Multi	Present	AxialParenchyma	Various	Absent	Absent
Neobracea_valenzuelana	APO	Mal	30	56	520	840	310	2	Absent	Erect	Present	RM	Present	Absent	Absent	Absent	Present	LF	Absent	ThinThick	Present	Apo	Absent	Present	Absent	Absent	Absent	Uni	Absent	Absent	Absent	Absent	Absent
Nerium_oleander	APO	Ner	40	44	445	875	325	3	Absent	Erect	Absent	RM	Present	Absent	Absent	Absent	Present	LF	Absent	Thin	Present	Apo	Absent	Present	Present	Absent	Absent	Multi	Present	AxialParenchyma	PrismaticCrystals	Absent	Absent
Ochrosia_oppositifolia	RAU	Vin	60	43	590	NA	605	60	Absent	Erect	Present	Absent	Absent	Absent	Absent	Present	Absent	FT	Absent	ThinThick	Present	Apo	Absent	Present	Absent	Absent	Absent	Uni+Multi	Present	Rays	PrismaticCrystals	Absent	Absent
Odontadenia_perrottetii	APO	Odo	130	10	580	990	320	5	Present	Climbing	Present	CL	Present	Present	Absent	Absent	Present	LF	Absent	Thin	Present	Apo	Absent	Absent	Present	Absent	Absent	Uni	Present	AxialParenchyma	Various	Present	Present
Odontadenia_puncticulosa	APO	Odo	120	48	595	965	508	40	Present	Climbing	Absent	CL	Present	Present	Absent	Absent	Present	LF	Present	Thin	Present	Para	Absent	Absent	Absent	Present	Absent	Uni+Multi	Present	AxialParenchyma	PrismaticCrystals	Present	Absent
Orthosia_scoparia	ASC	Asc	80	69	310	420	220	2	Present	Climbing	Present	Absent	Absent	Absent	Absent	Present	Present	FT+LF	Absent	ThinThick	Present	Para	Absent	Absent	Absent	Present	Absent	Uni	Present	AxialParenchyma+Rays	PrismaticCrystals	Present	Absent
Papuechites_aambe	APO	Apo	260	15	410	870	545	20	Present	Climbing	Present	CL	Present	Present	Absent	Absent	Present	LF	Absent	Thin	Present	Apo+Para	Present	Present	Absent	Present	Present	Multi	Present	AxialParenchyma+Rays	PrismaticCrystals	Absent	Present
Parahancornia_fasciculata	RAU	Wil	110	11	1010	1530	375	30	Absent	Erect	Absent	RM	Present	Absent	Absent	Absent	Present	LF	Absent	Thin	Present	Apo	Absent	Absent	Present	Absent	Absent	Multi	Present	AxialParenchyma	PrismaticCrystals	Absent	Present
Pentalinon_luteum	APO	Ech	65	39	300	750	310	1	Present	Climbing	Present	CL	Present	Present	Absent	Absent	Present	LF	Absent	Thin	Present	Para	Absent	Present	Absent	Present	Absent	Multi	Present	AxialParenchyma+Rays	PrismaticCrystals	Absent	Absent
Pentopetia_grevei	PER	PER	50	86	285	600	330	4	Absent	Erect	Absent	CL	Present	Present	Present	Absent	Present	T+LF	Absent	ThinThick	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Multi	Present	AxialParenchyma+Rays	PrismaticCrystals	Absent	Present
Peplonia_organensis	ASC	Asc	80	40	360	460	160	NA	Present	Climbing	Present	Absent	Absent	Present	Absent	Present	Absent	FT	Absent	ThinThick	Present	Para	Absent	Absent	Absent	Present	Absent	Uni	Present	AxialParenchyma	PrismaticCrystals	Present	Absent
Periploca_graeca	PER	PER	105	33	250	505	695	9	Present	Climbing	Present	CL	Present	Present	Absent	Present	Absent	FT	Absent	Thin	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Multi	Absent	Absent	Absent	Absent	Absent
Periploca_laevigata	PER	PER	50	75	245	635	200	2	Absent	Erect	Absent	CL	Present	Present	Present	Present	Absent	T+FT	Absent	ThinThick	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Multi	Present	AxialParenchyma+Rays	PrismaticCrystals	Absent	Absent
Petchia_madagascariensis	RAU	Vin	50	85	530	1200	570	4	Absent	Erect	Present	Absent	Absent	Absent	Absent	Present	Absent	FT	Absent	Thick	Present	Apo	Absent	Present	Absent	Absent	Absent	Uni+Multi	Present	AxialParenchyma	PrismaticCrystals	Absent	Absent
Picralima_nitida	RAU	Hun	55	42	800	1930	805	35	Absent	Erect	Present	Absent	Absent	Absent	Absent	Present	Present	FT+LF	Absent	Thick	Present	Apo	Absent	Present	Present	Absent	Absent	Multi	Absent	Absent	Absent	Absent	Absent
Pleiocarpa_mutica	RAU	Hun	40	41	720	1540	375	8	Absent	Erect	Present	Absent	Absent	Absent	Absent	Present	Present	FT+LF	Absent	Thick	Present	Apo	Absent	Present	Present	Absent	Absent	Multi	Absent	Absent	Absent	Absent	Absent
Pleioceras_barteri	APO	Wri	60	23	470	1060	205	1	Absent	Erect	Present	Absent	Absent	Absent	Absent	Present	Absent	FT	Absent	Thick	Present	Apo	Present	Absent	Absent	Absent	Absent	Uni+Multi	Present	AxialParenchyma	PrismaticCrystals	Absent	Absent
